Question,Selections (Options),Answer,Explanation
1. You're working as an agile project manager and the executive manager who will own the product would like to focus primarily on only set processes and tools to manage the project. What would you recommend to them instead of set processes and tools?,A) Focus on the definition of success as defined by the project manager. B) Focus primarily on the individuals and interactions involved. C) Focus primarily on the scope of the project. D) Focus primarily on the schedule of the project.,B,"Agile manifesto recommends focusing on individuals and interactions over processes and tools. Projects are run by people, products are developed by people for people to use, and interactions either make or break a project, which is why Agile is so powerful. "
"2. The executive management in your organization has assembled a new team and dictated that they will use Agile for their product development. As the project progresses, there is confusion about product scope and the definition of what 'done' looks like. As an agile project manager, what will you recommend to the executive team? ",A) Select a person from each part of the organization to assist to ensure diversity. B) Have the functional manager select their friends or their favorite team members. C) Encourage a self-organizing team to form including the people who asked for the requirements in the first place and the outcomes. D) Hire external consultants to run the project and create the product.,C,Agile encourages self-organizing teams composed of the people who created the requirements and had the desired outcome in the first place. This gives a higher level of ownership and product expertise.
3. You're running an agile project and you meet with the team for the next sprint planning meeting. What will you do next?,"A) Negotiate the scope and costs of the project with the project sponsor. B) Walk through the three questions with the team (what did I do yesterday, what will I do today, and is there anything blocking me?). C) The development team demonstrates the working feature to the product owner who marks it as complete. D) The Product Owner shares the updated backlog and the team discusses it to ensure a shared understanding. ",D,The Product Owner should share the updated backlog items and ensure the entire team has a really good shared understanding of what they will be working on over this sprint.
4. You're a project manager working on an agile project and you want your team to maximize the value they bring to the customer. What can you eliminate in order to maximize project value?,A) Daily stand-ups. B) Unnecessary features. C) Sprint reviews. D) Testing.,B,"In addition to eliminating unnecessary features, value can be maximized by eliminating partially done work, delays, extra processes, task switching, waiting, moving information or a deliverable, defects or rework, and handoffs, all of which are considered waste. "
5. You're working on a project and the team have recently moved to an agile way of work. One of the team members is confused about Scrum and what typically happens after the sprint review. What will you tell them happens next?,A) Hold a sprint retrospective with the team. B) Perform a backlog refinement with the product owner. C) Perform a story card elaboration with the three amigos. D) Holding a daily scrum.,A,"A Sprint Retrospective is held with the whole team after the Sprint Review but before the next Sprint Planning meeting, to gather lessons learned and look for opportunities for improvement. "
6. You're working in an agile team and preparing the agile team charter. You work with the agile team to ensure the team charter answers these four questions: Why are we doing this project? Who benefits from the project? And which of the following pairs are the next two questions?,A) When will the project end? and What do we do with the product?. B) What does DONE mean for the project? and How are we going to work together?. C) How much risk is on the project? and What's the project scope?. D) How many defects are allowed in the product? and How many testers are there?.,B,"The agile team charter typically covers the vision, the 'why,' the team's way of work, What does 'done' look like?, and How are we going to work together? "
7. You're working with a new agile project manager and explain that agile favors value-based measurements instead of predictive-based measurements on a project. What is an example of value-based measurements?,"A) Earned Value Management (EVM) and the Schedule Performance Index (SPI). B) Variance Analysis and Estimate to Complete (ETC). C) Feature burn down chart, the features delivered, and customer satisfaction. D) Variance at Completion (VAC) and Cost Performance Index (CPI). ",C,Agile works with value delivered as its primary measurement. All the other options are predictive measurements from a traditional project management methodology.
"8. Agile Unified Process (AUP) focuses on performing more iterative cycles across seven key disciplines, incorporating the associated feedback before formal delivery. Which is NOT one of the seven key disciplines within a release for Agile Unified Process? ",A) Discipline of the high-level model. B) Discipline in managing stakeholders expectations. C) Discipline in testing. D) Discipline in configuration management.,B,"Agile focuses on transparency to ensure the customer needs are met, not in specifically managing customer expectations. "
9. You're leading a coaching session with your project team on the additional agile and lean frameworks that have contributed to the agile way of work. What frameworks will you share with the team?,A) Project Management Plan and Project Charter. B) Scaled Agile Framework (SAFe) and Large-Scale Scrum (LeSS). C) Working group meetings and post-mortem project meetings. D) Flow charting and affinity diagrams.,B,"Agile and lean frameworks include Scaled Agile Framework (SAFe), Large-Scale Scrum (LeSS), Scrum of Scrums (SoS), Dynamic Systems Development Method (DSDM), along with more common Kanban, Extreme Programming (XP), and Scrum. "
"10. Introduced by Alexander Coburn in his book Crystal Clear and created at IBM in 1991, this methodology is a framework for focusing on individuals and their interactions, opposed to processes and tools. It is not a set process but a guideline for the team to collaborate and communicate. Which is NOT one of the core beliefs of Crystal? ",A) Technologies change techniques. B) People change functions. C) Cultures change norms. D) Distances change communication.,B,"Crystal Clear describes the three core beliefs as technologies changing techniques, cultures changing norms, and distances changing communication. "
11. You're working on a project in the role of Scrum Master and have set a meeting with the team and the Product Owner to refine the product backlog. What should the team do in this meeting?,A) Estimate and refine the work items. B) Prioritize the work items. C) Add features to the product backlog. D) Identify fixes.,A,The Product Owner adjusts the priority of the Product Backlog items; the team is responsible for estimating and refining those work items to figure out how much they can complete during a sprint.
12. You're working with a team who would like to become agile. The functional manager asks you what the difference between Kanban and Scrum is. What will you tell them?,A) Kanban teams plan their work in sprints or iterations. B) There are no work in progress limits in Kanban. C) Kanban teams work on a project as a whole. D) Kanban teams employ a pull system.,D,"The main difference is that Kanban teams employ a pull system. If an item of work is completed, it triggers someone to pull the next item into the queue onto the board to work on. Kanban boards also limit the work in progress (WIP). "
13. You're working on a new project with an agile product development team who have self-formed and chosen a Scrum Master called Jeremy. Jeremy immediately sets a meeting with the team to explain and flesh out their team charter. What has made Jeremy a good choice for Scrum Master?,A) He likes to work within set processes. B) He has been with the company for more than five years. C) He shows servant leadership and engages the team in team decisions. D) He sticks to the plan and he does not change.,C,"Jeremy shows the traits of servant leadership by engaging the team in team decisions, which is good practice. By communicating the reasons for his decisions, he is a suitable Scrum Master and will be less focused on command and control. "
14. You're managing a project as an agile project manager and a business representative for the product you're delivering asks you how many defects were found in the latest round of testing. You don't know the answer off the top of your head. What should you do?,A) Guess the number of defects and then change the subject. B) Tell the business partner you will send an email to him with the information. C) Take him to the team area where the information radiator with the project information is displayed. D) Ask the business partner to call the Scrum Master to get the correct answer.,C,"A core component of Agile is visual management and transparency. The information radiator (which can be physical or digital) displays project information like team velocity, the Kanban board, test results, and issues, allowing stakeholders to self-serve. "
15. You're working in a company that is moving from a waterfall methodology to agile. You mention to the business unit manager that the team will be better prepared to respond to change and meet customer needs using Agile. Why is this?,"A) The agile team works directly with a business owner or representative to constantly prioritize delivered value. B) The agile team delivers the product all in one go. C) The agile team is for developers only, so development will improve. D) The business partners review statuses and ask for recommendations. ",A,"Working with the business partners or someone who represents the customer almost daily is a key part of Agile, allowing the team to constantly reshuffle and ensure they are delivering business value according to what the customer wants. "
"16. For agile life cycles, two kinds of planning occur: release planning and iteration planning. What is the incorrect description below regarding iteration planning and backlog preparation? ","A) The backlog is the ordered list of all of the work presented in story form for a team. B) The coach encourages the team to work alone so no one bothers them. C) The facilitator encourages the team to work in the triads of developer, tester, and product owner/business analyst (the 'three amigos'). D) The triad discuss, write, and then place enough stories into an iteration and enough features for a first release. ",B,"Answers A, C, and D are correct descriptions of backlog preparation. Agile encourages continuous collaboration and teamwork, making option B incorrect. "
17. Behavior Driven Development (BDD) allows a developer to focus on testing the code based on the expected behavior of the software and is a method of writing user stories and acceptance criteria. What is the correct description regarding BDD acceptance criteria?,"A) Make, buy, and do. B) Tell, show, and repeat. C) Find, create, and perform. D) Given, when, then. ",D,"Given, when, then is the structure used for BDD, particularly when outlining user story cards for an iteration. It highlights: Given a certain situation, when something happens, then we want this to happen. "
"18. Every project has characteristics around requirements, delivery, change, and goals. Understanding the different types of life cycles allows you to choose the right one for your project. What is the correct description for a Waterfall approach? ","A) Predictive, fixed requirements, performed once for the entire project, single big bang delivery. B) Predictive, variable requirements, performed once for the entire project, single big bang delivery. C) Iterative, fixed requirements, repeated until correct, multiple deliveries. D) Incremental, variable requirements, performed once for the entire project, multiple deliveries. ",A,A predictive or waterfall project management life cycle focuses on fixed requirements performed once for the project in a single delivery.
19. What is the correct description for an Iterative project approach?,"A) Dynamic requirements, performed once for the entire project, single big bang delivery. B) Dynamic requirements, repeated until correct, single delivery. C) Dynamic requirements, repeated until correct, multiple deliveries. D) Fixed requirements, repeated until correct, multiple deliveries. ",B,"Iterative methods have dynamic requirements that are ever-changing but they are repeated with feedback until they are correct, but they are delivered only once. "
20. The team charter is also a social contract. Which of the below is NOT usually a part of an agile team charter?,A) Team values such as sustainable pace and core hours. B) Working agreements such as what 'ready' means and what 'done' means. C) Ground rules such as one person talking in a meeting. D) Schedule Performance Index (SPI) and Cost Performance Index (CPI) for the project.,D,"The agile team charter focuses on the vision, the 'why,' and the team's way of work. The SPI and CPI are Earned Value Management (EVM) metrics from a predictive project methodology (Waterfall) and are not part of a traditional agile team charter. "
21. You're working with a team that is new to agile and you're using Scrum to manage the project. The business representative is confused about the difference between a Sprint Review and a Sprint Retrospective. What will you tell them?,A) Sprint Reviews demonstrate the work completed; Sprint Retrospectives look at all the work completed in the project.  B) Sprint Reviews discuss what is worked on; Sprint Retrospectives are done at the end of the project for a lesson learned opportunity.  C) Sprint Reviews review the lessons learned; Sprint Retrospectives look at the history of the product retrospectively.  D) Sprint Reviews are for product demonstrations; Sprint Retrospectives are for lessons learned.,D,"Sprint Reviews are for product demonstrations to the customer/business. Sprint Retrospectives are for lessons learned where the team asks what went well, what didn't go well, and what they learned to continuously improve the process. "
